time,x,y,yaw,desired_heading,heading_error,P,I,D,PID_output,left_vel,right_vel
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301845,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302481,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301706,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302185,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302053,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302236,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302103,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302204,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302091,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302708,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301515,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302839,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301695,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302146,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301978,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302797,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301683,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302162,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301984,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302385,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301998,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302188,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302317,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302055,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302066,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302789,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301619,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302131,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302246,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00303524,0,4.0318,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301018,0,4.03177,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302272,0,4.03178,64.0318,55.9682
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00295198,-0.0700631,3.78673,63.7867,56.2133
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00291121,0.092466,4.00544,64.0054,55.9946
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.0029338,-0.0224798,3.89052,63.8905,56.1095
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00297086,0,3.91304,63.913,56.087
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00287221,-0.0227967,3.83392,63.8339,56.1661
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00295577,0.0924643,4.12418,64.1242,55.8758
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.0029778,-0.117418,3.79562,63.7956,56.2044
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00292131,0.0249055,3.88167,63.8817,56.1183
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00294494,0.0928044,4.12451,64.1245,55.8755
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302671,-0.0698496,3.96194,63.9619,56.0381
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301549,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302329,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302071,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030268,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301927,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302379,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301711,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.0029873,-0.0417523,3.88544,63.8854,56.1146
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00293722,0.0419059,3.96905,63.9691,56.0309
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294987,0,3.92716,63.9272,56.0728
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00293905,0,3.92715,63.9271,56.0729
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294603,0,3.92715,63.9272,56.0728
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00293818,0,3.92715,63.9271,56.0729
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294306,0,3.92715,63.9272,56.0728
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294322,0,3.92715,63.9272,56.0728
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294845,0,3.92716,63.9272,56.0728
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00293809,0,3.92715,63.9271,56.0729
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00294867,0,3.92716,63.9272,56.0728
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00298004,0.041854,4.0736,64.0736,55.9264
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302345,-0.0417953,3.98999,63.99,56.01
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301532,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302775,0,4.03179,64.0318,55.9682
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00295565,-0.0699762,3.78682,63.7868,56.2132
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288603,0.0700739,3.9268,63.9268,56.0732
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028957,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288563,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289003,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289076,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00291155,0,3.85675,63.8568,56.1432
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00286895,0,3.85671,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028914,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289429,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00290612,0,3.85675,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00286966,0,3.85671,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289756,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288842,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028858,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289493,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288434,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289129,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289079,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289012,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288994,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289066,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289067,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00291393,0,3.85675,63.8568,56.1432
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00286573,0,3.85671,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289612,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288578,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289532,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288413,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289638,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288672,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289719,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288325,0,3.85672,63.8567,56.1433
